4	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	
8	0.04	0.04	0.04	0.04	0.04	0.04	0.04	1.58	
16	0.04	0.04	0.04	0.05	0.04	0.06	0.04	1.59	
32	0.04	0.04	0.04	0.07	0.04	1.59	0.04	1.61	
64	0.06	0.10	0.06	0.17	0.06	1.60	0.06	1.63	
128	0.13	0.28	0.13	0.61	0.13	1.63	0.13	3.13	
